Year,Company,Category,Market Capin B USD,Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Share Holder Equity,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI,Net Profit Margin,Free Cash Flow per Share,Return on Tangible Equity,Number of Employees,Inflation Ratein US
2010,GOOG,IT,188.54,29321.0,18904.0,8505.0,0.6578,11777.0,46241.0,11081.0,-10680.0,3050.0,4.1579,0.0749,18.3928,14.7016,18.3928,29.0065,-0.1195,21.8407,24400,1.64
2009,GOOG,IT,195.27,23651.0,14807.0,6520.0,0.5103,9836.0,36004.0,9316.0,-8019.0,233.0,10.6178,0.0,18.1091,16.1,18.1091,27.5675,0.6657,21.4997,19835,-0.3555
2022,PYPL,FinTech,81.19,27518.0,11653.0,2419.0,2.09,5154.0,20274.0,5813.0,-3421.0,-1110.0,1.2753,0.5138,11.9315,3.073,7.8818,8.7906,0.288,29.2256,29900,8.0028
2021,PYPL,FinTech,221.57,25371.0,11921.0,4169.0,3.52,5527.0,21727.0,5797.0,-5149.0,-557.0,1.2218,0.3705,19.1881,5.4998,14.0012,16.4322,-0.4843,46.6279,30900,4.6979
2020,PYPL,FinTech,274.41,21454.0,10001.0,4202.0,3.54,4478.0,20063.0,6219.0,-16545.0,12454.0,1.3264,0.4455,20.944,5.9705,14.4887,19.5861,1.7623,42.5304,26500,1.2336
2019,PYPL,FinTech,127.01,17772.0,7987.0,2459.0,2.07,3631.0,16929.0,4071.0,-5742.0,4187.0,1.43,0.2933,14.5254,4.7903,11.2314,13.8364,-1.0251,24.7409,23200,1.8122
2018,PYPL,FinTech,99.09,15451.0,7189.0,2057.0,1.71,2970.0,15386.0,5480.0,821.0,-1240.0,1.2725,0.1299,13.3693,4.7471,13.3693,13.3131,2.347,24.852,21800,2.4426
2017,PYPL,FinTech,88.48,13094.0,6399.0,1795.0,1.47,2932.0,15994.0,2531.0,-4485.0,4084.0,1.4279,0.0625,11.223,4.4023,11.223,13.7086,-0.5169,15.6264,18700,2.1301
2016,PYPL,FinTech,47.63,10842.0,5141.0,1401.0,1.15,2310.0,14712.0,3158.0,-5904.0,2038.0,1.5246,0.0,9.5228,4.2322,9.5228,12.922,0.5382,13.417,18100,1.2616
2015,PYPL,FinTech,44.23,9248.0,4719.0,1228.0,1.0,2069.0,13759.0,2546.0,-8038.0,4728.0,1.5163,0.0,8.9251,4.2519,8.9251,13.2786,0.0935,13.159,16800,0.1186
2014,PYPL,FinTech,113.14,8025.0,4218.0,419.0,0.34,1784.0,8248.0,2220.0,-2881.0,1284.0,1.3224,0.1325,5.08,1.9118,5.08,5.2212,0.103,8.5458,15800,1.6222
2022,AIG,Bank,46.99,56437.0,20762.0,10247.0,13.01,20640.0,42235.0,4207.0,-3626.0,-676.0,1.0,0.6435,27.0084,2.1411,16.2446,18.1565,-1.9207,26.6982,26200,8.0028
2021,AIG,Bank,47.21,52057.0,15322.0,9359.0,10.82,15382.0,68912.0,6279.0,-3280.0,-3735.0,1.0,0.4377,14.5016,1.6646,10.0157,17.9784,6.0658,14.3995,36600,4.6979
2020,AIG,Bank,32.62,43736.0,6912.0,-5973.0,-6.88,6821.0,67199.0,1038.0,-6202.0,5058.0,1.0,0.5586,-8.7433,-0.9946,-5.5694,-13.6569,3.2256,-8.6802,45000,1.2336
2019,AIG,Bank,44.65,49746.0,11975.0,3326.0,3.74,11817.0,67427.0,-1807.0,-5475.0,7258.0,1.0,0.5243,6.1561,0.7849,4.0097,6.686,-1.5986,6.1118,46000,1.8122
2018,AIG,Bank,34.86,47389.0,6921.0,-6.0,-0.01,6897.0,57309.0,-394.0,-223.0,1249.0,1.0,0.6027,0.1797,0.0209,0.1121,-0.0127,7.9685,0.1797,49600,2.4426
2017,AIG,Bank,53.56,49520.0,6849.0,-6084.0,-6.54,6435.0,65708.0,-7818.0,14041.0,-5697.0,1.0,0.4815,-9.2226,-1.2161,-6.2251,-12.2859,-11.611,-9.2226,49800,2.1301
2016,AIG,Bank,67.08,52367.0,5236.0,-849.0,-0.78,4805.0,76858.0,3502.0,3252.0,-6833.0,1.0,0.4022,-0.337,-0.052,-0.2403,-1.6213,1.0537,-0.337,56400,1.2616
2015,AIG,Bank,76.66,58327.0,10565.0,2196.0,1.65,9958.0,90210.0,2877.0,8462.0,-11429.0,1.0,0.3242,2.4631,0.4472,1.8601,3.765,-1.303,2.4631,66400,0.1186
2014,AIG,Bank,78.41,64406.0,19219.0,7529.0,5.2,16752.0,107272.0,5007.0,14284.0,-19788.0,1.0,0.291,7.0606,1.469,5.469,11.6899,-0.5007,7.0606,65000,1.6222
2013,AIG,Bank,75.16,68874.0,21915.0,9085.0,6.13,16922.0,101081.0,5865.0,7099.0,-11758.0,1.0,0.4125,8.9117,1.6641,6.3093,13.1908,1.7809,8.9117,64000,1.4648
2012,AIG,Bank,52.11,71214.0,21825.0,3438.0,2.04,19327.0,98669.0,3676.0,16612.0,-20564.0,1.0,0.4915,3.7489,0.6742,2.5134,4.8277,2.2237,3.7489,63000,2.0693
2011,AIG,Bank,44.06,65105.0,18692.0,19810.0,11.01,15225.0,102393.0,-81.0,36448.0,-36926.0,1.0,0.7349,18.4222,3.4107,10.6183,30.4278,-121.5022,18.4222,57000,3.1568
2010,AIG,Bank,7.79,72829.0,16787.0,2046.0,14.98,21166.0,113239.0,16597.0,-9912.0,-9261.0,1.0,0.7548,32.1262,1.9393,6.6699,2.8093,-15.8715,11.7045,63000,1.64
2009,AIG,Bank,4.04,75447.0,18614.0,-12244.0,-90.48,27765.0,98076.0,18584.0,5778.0,-28997.0,1.0,1.1552,-45.3061,-1.5123,-6.0641,-16.2286,137.3287,-13.9507,96000,-0.3555
2022,PCG,Manufacturing,41.28,21680.0,16824.0,1800.0,0.84,5693.0,23075.0,3721.0,-10214.0,7133.0,0.8117,2.2563,7.8613,1.5289,2.5615,8.3026,-0.016,7.8613,26010,8.0028
2021,PCG,Manufacturing,32.2,20642.0,16261.0,-102.0,-0.05,5286.0,21223.0,2262.0,-6905.0,4323.0,0.6356,2.1152,-0.4146,-0.0852,-0.148,-0.4941,18.6025,-0.4146,26000,4.6979
2020,PCG,Manufacturing,24.1,18469.0,14571.0,-1318.0,-1.05,5223.0,21253.0,-19130.0,-7748.0,25928.0,0.707,1.9227,-6.1356,-1.3326,-2.2275,-7.1363,-18.5013,-6.1356,24000,1.2336
2019,PCG,Manufacturing,24.73,17129.0,13300.0,-7656.0,-14.5,-6860.0,5388.0,4816.0,-6378.0,1464.0,1.3321,0.0,-141.8337,-8.9699,-141.8337,-44.6961,0.5729,-141.8337,23000,1.8122
2018,PCG,Manufacturing,5.75,16759.0,12260.0,-6851.0,-13.25,-6664.0,12903.0,4752.0,-6564.0,3031.0,0.2205,1.7046,-52.9877,-8.8798,-52.9877,-40.8795,-4.0631,-52.9877,24000,2.4426
2017,PCG,Manufacturing,12.32,17135.0,12080.0,1646.0,3.21,5759.0,19472.0,5977.0,-5650.0,-55.0,0.881,0.9824,8.5251,2.4407,4.4594,9.6061,3.2498,8.5251,23000,2.1301
2016,PCG,Manufacturing,23.06,17666.0,12286.0,1393.0,2.78,4835.0,18192.0,4409.0,-5753.0,1171.0,0.8149,1.0134,7.7342,2.0511,4.0887,7.8852,0.2656,7.7342,24000,1.2616
2015,PCG,Manufacturing,30.73,16833.0,11071.0,874.0,1.79,4120.0,16828.0,3780.0,-5211.0,1403.0,0.9136,1.0164,5.2769,1.4043,2.7112,5.1922,-0.4285,5.2769,23000,0.1186
2014,PCG,Manufacturing,26.09,17090.0,10521.0,1436.0,3.06,4883.0,16000.0,3690.0,-4714.0,879.0,1.0792,0.9802,9.0625,2.4116,4.6699,8.4026,1.5681,9.0625,22581,1.6222
2013,PCG,Manufacturing,25.29,15598.0,9614.0,814.0,1.83,3839.0,14594.0,3427.0,-5107.0,1575.0,0.7977,1.0127,5.6736,1.4891,3.0317,5.2186,-4.6071,5.6736,21166,1.4648
2012,PCG,Manufacturing,18.1,15040.0,10017.0,816.0,1.92,3965.0,13326.0,4882.0,-4526.0,-468.0,0.8186,1.0062,6.2284,1.5825,3.2117,5.4255,1.3509,6.2284,20593,2.0693
2011,PCG,Manufacturing,17.14,14956.0,9623.0,844.0,2.1,4157.0,12353.0,3739.0,-3986.0,469.0,0.8362,1.1241,6.9457,1.7246,3.5574,5.6432,0.7766,6.9457,19274,3.1568
2010,PCG,Manufacturing,16.73,13841.0,8652.0,1099.0,2.82,4213.0,11534.0,3206.0,-3857.0,415.0,0.7713,1.1613,9.6497,2.4183,4.8681,7.9402,0.8604,9.6497,19424,1.64
2009,PCG,Manufacturing,18.76,13399.0,8397.0,1220.0,3.2,4051.0,10585.0,3039.0,-3336.0,605.0,0.8303,1.2063,11.658,2.8734,5.6624,9.1052,-2.3808,11.658,19425,-0.3555
2018,SHLDQ,Finance,0.04,16702.0,3527.0,-383.0,-3.57,-52.0,-3723.0,-1842.0,1894.0,-2.0,0.7756,-1.1099,10.2874,-5.274,25.9837,-2.2931,3.0663,7.4225,89900,2.4426
2017,SHLDQ,Finance,0.37,22138.0,4686.0,-2221.0,-20.78,-1610.0,-3824.0,-1381.0,244.0,1185.0,1.0673,-1.0887,58.0805,-23.7236,884.8605,-10.0325,-13.9382,39.5618,140000,2.1301
2016,SHLDQ,Finance,1.11,25146.0,5810.0,-1129.0,-10.59,-570.0,-1956.0,-2167.0,2519.0,-364.0,1.1116,-1.5215,57.6687,-9.9497,-742.1052,-4.4898,14.9014,27.2859,178000,1.2616
2015,SHLDQ,Finance,2.19,31198.0,7149.0,-1682.0,-15.82,-889.0,-945.0,-1387.0,327.0,285.0,1.0479,-3.9958,191.5344,-13.7277,-84.5005,-5.3914,-7.424,54.6663,196000,0.1186
2014,SHLDQ,Finance,3.51,36188.0,8755.0,-1365.0,-12.87,-195.0,2183.0,-1109.0,664.0,902.0,1.0946,1.9464,-51.1223,-6.1114,-22.2444,-3.772,-2.7683,106.6922,226000,1.6222
2013,SHLDQ,Finance,4.9,39854.0,10514.0,-930.0,-8.78,-8.0,3172.0,-303.0,191.0,-27.0,1.1011,0.9836,-33.2283,-5.4498,-20.6061,-2.3335,4.5387,1197.727,246000,1.4648
2012,SHLDQ,Finance,4.47,41567.0,10601.0,-3140.0,-29.4,-648.0,4341.0,-275.0,-309.0,-28.0,1.112,0.8047,-71.8728,-14.5924,-48.5301,-7.5541,-3.5464,-554.1741,264000,2.0693
2011,SHLDQ,Finance,3.39,42664.0,11664.0,133.0,1.19,1306.0,8614.0,123.0,-406.0,-95.0,1.3375,0.3707,1.6137,0.5706,1.2685,0.3117,-12.4078,3.2868,280000,3.1568
2010,SHLDQ,Finance,8.22,43360.0,11986.0,235.0,1.99,1561.0,9435.0,1507.0,-172.0,-951.0,1.3018,0.2655,2.9677,1.1287,2.515,0.542,5.4337,5.7911,290000,1.64
2009,SHLDQ,Finance,8.98,46770.0,12652.0,53.0,0.42,1283.0,9699.0,992.0,-637.0,-643.0,1.3412,0.301,1.0207,0.3907,0.8368,0.1133,4.5748,1.9705,291000,-0.3555
2022,MCD,FOOD,186.39,23182.6,13207.2,6177.4,8.33,11241.6,-6003.4,7386.7,-2678.1,-6580.2,1.4266,-5.9805,-102.8983,12.2481,20.6601,26.6467,-2.1323,-69.3794,150000,8.0028
2021,MCD,FOOD,193.02,23222.9,12580.2,7545.2,10.04,12224.1,-4601.0,9141.5,-2165.7,-5595.6,1.7782,-7.7424,-163.9903,14.0104,24.3223,32.4903,3.3857,-102.19,200000,4.6979
2020,MCD,FOOD,200.31,19207.8,9752.101,4730.5,6.31,9075.4,-7824.9,6265.2,-1545.8,-2249.0,1.01,-4.7848,-60.4545,8.9888,17.2823,24.628,-1.4852,-44.6358,200000,1.2336
2019,MCD,FOOD,159.89,21364.4,11179.4,6025.4,7.88,10687.7,-8210.3,8122.1,-3071.1,-4994.8,0.9826,-4.1627,-73.3883,12.6822,23.2571,28.203,2.1046,-55.3414,205000,1.8122
2018,MCD,FOOD,148.82,21257.9,10832.6,5924.3,7.54,10304.6,-6258.4,6966.7,-2455.1,-5949.6,1.3631,-4.9654,-94.6616,18.0557,23.872,27.8687,0.8436,-68.9682,210000,2.4426
2017,MCD,FOOD,136.89,22820.4,10620.8,5192.3,6.37,10916.1,-3268.0,5551.2,562.0,-5310.8,1.8429,-9.0381,-158.8832,15.3602,19.7663,22.7529,-0.2793,-91.9365,235000,2.1301
2016,MCD,FOOD,137.21,24621.9,10204.7,4686.5,5.44,9261.002,-2204.3,6059.6,-981.6,-11262.4,1.398,-11.775,-212.6069,15.1061,19.7958,19.0339,-0.21,-103.2087,375000,1.2616
2015,MCD,FOOD,101.08,25413.0,9789.2,4529.3,4.8,8701.2,7087.9,6539.1,-1420.0,735.3,3.2684,3.4033,63.9019,11.9385,14.5123,17.8228,0.9354,99.0748,420000,0.1186
2014,MCD,FOOD,108.48,27441.3,10455.7,4757.8,4.82,9593.701,12853.4,6730.3,-2304.9,-4618.3,1.5232,1.162,37.0159,13.9006,17.1211,17.3381,0.0221,47.0227,420000,1.6222
2013,MCD,FOOD,91.19,28105.7,10902.7,5585.9,5.55,10349.4,16009.7,7120.7,-2673.8,-4043.0,1.5931,0.8826,34.8907,15.2511,18.5335,19.8746,0.4311,42.5204,440000,1.4648
2012,MCD,FOOD,96.55,27567.0,10816.3,5464.8,5.36,10093.1,15293.6,6966.1,-3167.3,-3849.8,1.4464,0.8914,35.7326,15.4432,18.8923,19.8237,-0.3911,43.7548,440000,2.0693
2011,MCD,FOOD,88.56,27006.0,10686.6,5503.1,5.27,9944.701,14390.2,7150.1,-2570.9,-4533.0,1.2547,0.8687,38.242,16.6812,20.7476,20.3773,0.3369,46.8868,420000,3.1568
2010,MCD,FOOD,102.66,24074.6,9637.3,4946.3,4.58,8749.3,14634.2,6341.6,-2056.0,-3728.7,1.4937,0.7862,33.7996,15.4692,18.9287,20.5457,0.463,41.0546,400000,1.64
2009,MCD,FOOD,81.1,22744.7,8791.8,4551.0,4.11,8057.2,14033.9,5751.0,-1655.3,-4421.0,1.1431,0.7538,32.4286,15.0571,18.5044,20.0091,3.4305,39.2034,385000,-0.3555
2022,BCS,BANK,32.53,30868.08,30868.08,6212.949,1.4744,1.0,85667.7,37392.72,-26807.33,860.8824,1.0,7.1602,8.624,0.3946,1.284,21.162,-6.5477,9.7884,87400,8.0028
2021,BCS,BANK,43.6,30169.69,30169.69,8766.263,2.0131,1.0,96547.15,67268.52,5871.677,147.1357,1.0,6.3396,10.2918,0.522,1.6696,28.2167,-1.4283,11.6267,81600,4.6979
2020,BCS,BANK,34.66,27947.54,27947.54,1959.384,0.4416,1.0,85876.48,73836.42,-23594.78,3507.888,1.0,6.0327,3.6796,0.1824,0.602,9.0147,20.4341,4.1759,83000,1.2336
2019,BCS,BANK,40.78,27621.9,27621.9,4180.571,0.72,1.0,83841.26,-15699.49,-16377.52,881.061,1.0,5.3348,5.1081,0.2942,0.9201,16.6024,-6.2895,5.8289,80800,1.8122
2018,BCS,BANK,31.68,28212.33,28212.33,1860.711,0.4912,1.0,85132.21,11351.14,903.6596,-9059.288,1.0,5.8975,3.7191,0.2093,0.6186,7.0877,-15.5712,4.2504,83500,2.4426
2017,BCS,BANK,45.79,27162.75,27162.75,-2477.073,-0.573,1.0,85081.42,78244.34,4513.377,1238.537,1.0,5.2797,1.9707,0.1148,0.3862,-10.2561,14.5974,2.2367,79900,2.1301
2016,BCS,BANK,46.21,29072.54,29072.54,2373.13,0.5584,1.0,96720.98,15295.92,49749.0,-1784.93,1.0,3.5002,3.1346,0.1844,0.8387,9.1781,-2.4382,3.5151,119300,1.2616
2015,BCS,BANK,53.45,38919.16,38919.16,-495.396,-0.1162,1.0,100706.1,24659.71,-12895.59,-674.289,1.0,3.6646,0.9459,0.0556,0.251,-1.3882,9.9996,1.0808,129400,0.1186
2014,BCS,BANK,60.47,41677.15,41677.15,-197.7716,-0.046,1.0,108705.4,-17207.81,17560.51,-5039.89,1.0,5.0612,1.2811,0.0622,0.3671,-0.519,6.6557,1.4625,132300,1.6222
2013,BCS,BANK,55.49,43712.69,43712.69,846.5568,0.232,1.0,100067.4,-39392.27,-35434.89,9247.968,1.0,6.6208,2.0282,0.0988,0.547,2.1758,-3.8585,2.3052,139600,1.4648
2012,BCS,BANK,52.82,46036.06,46036.06,-1650.089,-0.539,1.0,99793.14,-21741.23,-11252.63,-4504.854,1.0,7.688,-0.3749,-0.0158,-0.0829,-4.0909,-21.998,-0.4288,139200,2.0693
2011,BCS,BANK,33.47,48866.82,48866.82,6338.98,1.54,1.0,104600.5,46654.34,-3067.61,-9563.82,1.0,7.6045,4.6122,0.1923,1.368,12.2352,6.1199,5.2432,141100,3.1568
2010,BCS,BANK,47.13,49030.07,49030.07,7034.11,1.84,1.0,96275.73,28894.16,-8701.03,245.86,1.0,9.3328,6.0555,0.2531,1.5241,14.4688,-12.8733,7.0387,147500,1.64
2009,BCS,BANK,36.84,45992.04,45992.04,5497.87,5.12,1.0,91570.7,65523.51,18026.64,-1035.05,1.0,8.5152,19.5283,0.8282,5.1862,12.0558,21.5535,22.9851,144200,-0.3555
2023,NVDA,ELEC,1000.35,26974.0,15356.0,4368.0,1.74,5768.0,22101.0,5641.0,7375.0,-11617.0,3.5156,0.4956,19.7638,10.6066,13.7341,16.1934,-1.689,27.2099,26196,3.7
2022,NVDA,ELEC,359.5,26914.0,17475.0,9752.0,3.85,11215.0,26612.0,9108.0,-9830.0,1865.0,6.6503,0.4113,36.6451,22.0698,25.9652,36.2339,1.3378,48.946,22473,8.0028
